         a/fits             a1             b1             a2             b2             c2             d2             e2
   0.00000e+000   1.93140e+000  -7.20334e-001  -5.13508e+000   7.47372e-001  -9.29121e-003  -3.24906e-002   5.45691e+000
   1.00000e-003   1.93139e+000  -7.20351e-001  -5.13503e+000   7.47303e-001  -9.29346e-003  -3.24888e-002   5.45682e+000
   1.93070e-003   1.93138e+000  -7.20364e-001  -5.13489e+000   7.47106e-001  -9.29055e-003  -3.24758e-002   5.45682e+000
   3.72759e-003   1.93138e+000  -7.20369e-001  -5.13434e+000   7.46375e-001  -9.28148e-003  -3.24270e-002   5.45676e+000
   7.19686e-003   1.93136e+000  -7.20398e-001  -5.13231e+000   7.43664e-001  -9.24995e-003  -3.22472e-002   5.45652e+000
   1.38950e-002   1.93127e+000  -7.20535e-001  -5.12481e+000   7.33697e-001  -9.13316e-003  -3.15913e-002   5.45558e+000
   2.68270e-002   1.93073e+000  -7.21335e-001  -5.09781e+000   6.98276e-001  -8.72811e-003  -2.93384e-002   5.45172e+000
   5.17947e-002   1.86802e+000  -8.17087e-001  -5.00801e+000   5.85339e-001  -7.43153e-003  -2.29201e-002   5.43636e+000
   1.00000e-001   1.86370e+000  -8.10508e-001  -4.75842e+000   3.06697e-001  -2.80170e-003  -1.16022e-002   5.44998e+000
   1.36364e-001   1.92117e+000  -7.12376e-001  -4.53772e+000   9.69412e-002   3.37663e-003  -5.54216e-003   5.80878e+000
   1.72727e-001   1.97839e+000  -6.20483e-001  -4.31620e+000  -8.49200e-002   5.28309e-003   3.92983e-004   6.12793e+000
   2.09091e-001   2.00247e+000  -6.09279e-001  -4.10008e+000  -2.38793e-001   4.49481e-003   2.57699e-003   6.11711e+000
   2.45455e-001   2.00040e+000  -6.27303e-001  -3.89055e+000  -3.70460e-001   7.83054e-003  -4.63843e-004   5.52465e+000
   2.81818e-001   1.99961e+000  -6.44955e-001  -3.68546e+000  -4.89850e-001   8.84599e-003   2.61254e-004   5.47983e+000
   3.18182e-001   2.00096e+000  -6.44523e-001  -3.48446e+000  -6.01064e-001  -1.67790e-003   1.01827e-002   6.66569e+000
   3.54545e-001   2.00389e+000  -6.92652e-001  -3.29005e+000  -7.00808e-001  -1.31502e-003   1.24296e-002   6.51297e+000
   3.90909e-001   2.00845e+000  -6.91121e-001  -3.10412e+000  -7.86303e-001  -5.84633e-004   1.06779e-002   6.37595e+000
   4.27273e-001   2.01412e+000  -7.21608e-001  -2.92446e+000  -8.63301e-001   7.55140e-003   9.26357e-003   5.73354e+000
   4.63636e-001   2.02113e+000  -7.51749e-001  -2.74514e+000  -9.45345e-001   3.71630e-003   1.01051e-002   5.72905e+000
   5.00000e-001   2.02948e+000  -7.37364e-001  -2.56548e+000  -1.03425e+000   1.78256e-002  -1.35400e-002   8.69960e+000
   5.36364e-001   2.03875e+000  -7.53935e-001  -2.39259e+000  -1.11455e+000   2.40002e-002  -1.43854e-002   8.52989e+000
