         a/fits             a1             b1             a2             b2             c2             d2             e2
   0.00000e+000   9.34768e-001  -6.35388e-001  -5.13437e+000   7.45615e-001  -1.40633e-002  -3.06190e-002   5.42759e+000
   1.00000e-003   9.34776e-001  -6.35370e-001  -5.13431e+000   7.45540e-001  -1.40599e-002  -3.06148e-002   5.42762e+000
   1.93070e-003   9.34777e-001  -6.35376e-001  -5.13417e+000   7.45341e-001  -1.40570e-002  -3.06010e-002   5.42761e+000
   3.72759e-003   9.34776e-001  -6.35376e-001  -5.13362e+000   7.44599e-001  -1.40464e-002  -3.05525e-002   5.42758e+000
   7.19686e-003   9.34775e-001  -6.35392e-001  -5.13157e+000   7.41835e-001  -1.40059e-002  -3.03712e-002   5.42750e+000
   1.38950e-002   9.34770e-001  -6.35421e-001  -5.12403e+000   7.31670e-001  -1.38590e-002  -2.97172e-002   5.42720e+000
   2.68270e-002   9.34750e-001  -6.35577e-001  -5.09686e+000   6.95512e-001  -1.33407e-002  -2.74774e-002   5.42627e+000
   5.17947e-002   9.34675e-001  -6.36160e-001  -5.00643e+000   5.79988e-001  -1.17622e-002  -2.11438e-002   5.42429e+000
   1.00000e-001   9.34451e-001  -6.38242e-001  -4.75570e+000   2.95212e-001  -9.09264e-003  -9.51644e-003   5.38187e+000
   1.36364e-001   9.34162e-001  -6.40863e-001  -4.53482e+000   8.15561e-002  -8.63601e-003  -2.18802e-003   5.12758e+000
   1.72727e-001   9.33753e-001  -6.44402e-001  -4.31206e+000  -1.06751e-001  -7.30830e-003   1.60019e-003   4.94869e+000
   2.09091e-001   9.33226e-001  -6.48892e-001  -4.09210e+000  -2.72884e-001  -6.34668e-003  -1.22881e-003   5.41006e+000
   2.45455e-001   9.32574e-001  -6.54374e-001  -3.87788e+000  -4.18652e-001  -7.99698e-003  -2.50481e-003   5.55797e+000
   2.81818e-001   9.31788e-001  -6.60898e-001  -3.67153e+000  -5.44535e-001  -8.75080e-003  -2.35778e-003   5.49346e+000
   3.18182e-001   9.30854e-001  -6.68544e-001  -3.47352e+000  -6.52654e-001  -8.89744e-003   2.00903e-003   5.02021e+000
   3.54545e-001   9.29757e-001  -6.77428e-001  -3.28084e+000  -7.51558e-001  -1.06289e-002   2.72243e-003   4.90327e+000
   3.90909e-001   9.28472e-001  -6.87664e-001  -3.09029e+000  -8.49503e-001   3.13998e-003  -9.18641e-003   6.42270e+000
   4.27273e-001   9.26973e-001  -6.99422e-001  -2.90440e+000  -9.41689e-001  -3.61577e-003  -1.07476e-002   5.79204e+000
   4.63636e-001   9.25225e-001  -7.12852e-001  -2.72743e+000  -1.01915e+000   5.46419e-004  -1.08788e-002   5.78750e+000
   5.00000e-001   9.23182e-001  -7.28230e-001  -2.55946e+000  -1.08181e+000  -2.12488e-002   9.54640e-003   8.73302e+000
   5.36364e-001   9.20784e-001  -7.45873e-001  -2.39247e+000  -1.14722e+000  -2.73597e-002   9.76359e-003   8.56532e+000
   5.72727e-001   9.17952e-001  -7.66175e-001  -2.22260e+000  -1.22390e+000  -2.52518e-002   1.46648e-002   8.19340e+000
   6.09091e-001   9.14574e-001  -7.89682e-001  -2.05852e+000  -1.29283e+000  -3.09040e-002   2.34337e-002   7.90190e+000
   6.45455e-001   9.10496e-001  -8.17151e-001  -1.90782e+000  -1.33716e+000  -2.30569e-002   3.22157e-002   7.52594e+000
   6.81818e-001   9.05492e-001  -8.49624e-001  -1.75701e+000  -1.38593e+000  -4.52186e-002  -6.08893e-002   8.84998e+000
   7.18182e-001   8.99217e-001  -8.88655e-001  -1.59477e+000  -1.46376e+000  -5.87592e-002  -4.92360e-002   8.49472e+000
   7.54545e-001   8.91109e-001  -9.36649e-001  -1.43723e+000  -1.53354e+000  -7.79748e-002  -3.50707e-002   8.10064e+000
   7.90909e-001   8.80189e-001  -9.97675e-001  -1.29659e+000  -1.56849e+000   1.20834e-001   2.64317e-001   9.96384e+000
   8.27273e-001   8.64557e-001  -1.07909e+000  -1.14118e+000  -1.61931e+000  -7.24156e-002   2.89023e-004   7.23656e+000
   8.63636e-001   8.39939e-001  -1.19667e+000  -9.71416e-001  -1.68824e+000   1.94277e-001   2.02658e-001   9.04383e+000
   9.00000e-001   8.07727e-001  -1.33611e+000  -8.54146e-001  -1.67449e+000   2.01875e-001   5.11008e-002   8.48161e+000
   9.30481e-001   7.68135e-001  -1.49189e+000  -7.35755e-001  -1.72293e+000   1.32673e-001  -8.93229e-002   7.98243e+000
   9.51671e-001   7.19525e-001  -1.66705e+000  -6.47045e-001  -1.75653e+000   1.05127e-001  -1.33348e-001   7.73690e+000
   9.66402e-001   6.59921e-001  -1.86544e+000  -5.66559e-001  -1.81627e+000   1.02187e-001  -1.61636e-001   7.56762e+000
   9.76643e-001   5.86777e-001  -2.09213e+000  -5.17235e-001  -1.83288e+000   1.34662e-001  -1.81095e-001   7.46558e+000
   9.83762e-001   4.96731e-001  -2.35388e+000  -4.70419e-001  -1.86410e+000   9.12828e-002  -2.35585e-001   7.21409e+000
   9.88712e-001   3.85888e-001  -2.65855e+000  -4.42107e-001  -1.87269e+000   9.08540e-002  -2.48059e-001   7.09963e+000
   9.92152e-001   2.49994e-001  -3.01496e+000  -4.10372e-001  -1.90715e+000   2.46596e-002  -2.75634e-001   6.91802e+000
   9.94544e-001   8.37718e-002  -3.43412e+000  -3.91918e-001  -1.90503e+000   5.12802e-002  -2.89080e-001   6.85467e+000
   9.96207e-001  -1.16627e-001  -3.92473e+000  -3.61748e-001  -1.94333e+000  -1.56869e-002  -2.85087e-001   6.68802e+000
   9.97363e-001  -3.50741e-001  -4.48822e+000  -3.53166e-001  -1.93773e+000   1.14118e-002  -2.95338e-001   6.66567e+000
   9.98167e-001  -6.07655e-001  -5.10761e+000  -3.43827e-001  -1.94551e+000   6.28097e-003  -3.01545e-001   6.62734e+000
   9.98726e-001  -8.47389e-001  -5.71375e+000  -3.33295e-001  -1.95548e+000   1.76353e-003  -3.03870e-001   6.58810e+000
   9.99114e-001  -1.00351e+000  -6.18943e+000  -3.10955e-001  -1.98766e+000  -3.86763e-002  -2.93753e-001   6.48389e+000
   9.99384e-001  -9.97855e-001  -6.39408e+000  -2.95379e-001  -2.00819e+000  -6.26533e-002  -2.86866e-001   6.41087e+000
   9.99572e-001  -7.99515e-001  -6.26909e+000  -2.81169e-001  -2.02849e+000  -6.85925e-002   7.06299e-002   8.62570e+000
   9.99702e-001  -4.15535e-001  -5.82136e+000  -2.77859e-001  -2.02814e+000  -6.88216e-002   6.97502e-002   8.63354e+000
   9.99793e-001   1.17637e-001  -5.20469e+000  -2.72461e-001  -2.04335e+000  -6.33085e-002   8.02830e-002   8.61857e+000
   9.99856e-001   7.42055e-001  -4.22291e+000  -2.74563e-001  -2.02503e+000  -6.83972e-002   6.68031e-002   8.65527e+000
   9.99900e-001   7.42055e-001  -4.22291e+000  -2.74563e-001  -2.02503e+000  -6.83972e-002   6.68031e-002   8.65527e+000
