# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 504.931 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537521945e+01 
       1.066329848923e-05       4.942260346673e+01 
       1.091167861863e-05       5.053426116581e+01 
       1.116584426446e-05       5.167095162804e+01 
       1.142593018872e-05       5.283319073706e+01 
       1.169207429241e-05       5.402158339539e+01 
       1.196441768865e-05       5.523669746401e+01 
       1.224310477751e-05       5.647914950698e+01 
       1.252828332259e-05       5.774954575886e+01 
       1.282010452931e-05       5.904851061219e+01 
       1.311872312515e-05       6.037670444691e+01 
       1.342429744164e-05       6.173476671517e+01 
       1.373698949832e-05       6.312337586823e+01 
       1.405696508867e-05       6.454322979517e+01 
       1.438439386797e-05       6.599499782393e+01 
       1.471944944330e-05       6.747942732391e+01 
       1.506230946556e-05       6.899725165509e+01 
       1.541315572367e-05       7.054921034223e+01 
       1.577217424096e-05       7.213608679084e+01 
       1.613955537381e-05       7.375865877706e+01 
       1.651549391254e-05       7.541771726359e+01 
       1.690018918476e-05       7.711407059868e+01 
       1.729384516098e-05       7.884861470004e+01 
       1.769667056282e-05       8.062214661599e+01 
       1.810887897364e-05       8.243558401139e+01 
       1.853068895179e-05       8.428980549680e+01 
       1.896232414650e-05       8.618573751237e+01 
       1.940401341647e-05       8.812430889735e+01 
       1.985599095119e-05       9.010648121403e+01 
       2.031849639514e-05       9.213323709403e+01 
       2.079177497483e-05       9.420556744286e+01 
       2.127607762882e-05       9.632451932126e+01 
       2.177166114080e-05       9.849113526642e+01 
       2.227878827569e-05       1.007064765300e+02 
       2.279772791902e-05       1.029716440710e+02 
       2.332875521946e-05       1.052877488104e+02 
       2.387215173470e-05       1.076559639684e+02 
       2.442820558078e-05       1.100774318284e+02 
       2.499721158481e-05       1.125533575501e+02 
       2.557947144129e-05       1.150849857080e+02 
       2.617529387212e-05       1.176735383572e+02 
       2.678499479023e-05       1.203203117798e+02 
       2.740889746712e-05       1.230266278255e+02 
       2.804733270425e-05       1.257937940899e+02 
       2.870063900842e-05       1.286231999616e+02 
       2.936916277130e-05       1.315162399752e+02 
       3.005325845302e-05       1.344743455615e+02 
       3.075328877018e-05       1.374989792588e+02 
       3.146962488811e-05       1.405916366548e+02 
       3.220264661771e-05       1.437538467370e+02 
       3.295274261680e-05       1.469871725832e+02 
       3.372031059620e-05       1.502932162314e+02 
       3.450575753062e-05       1.536736097760e+02 
       3.530949987442e-05       1.571300249252e+02 
       3.613196378243e-05       1.606641711333e+02 
       3.697358533591e-05       1.642777956317e+02 
       3.783481077373e-05       1.679726831443e+02 
       3.871609672902e-05       1.717506631115e+02 
       3.961791047127e-05       1.756136022112e+02 
       4.054073015406e-05       1.795634083178e+02 
       4.148504506860e-05       1.836020373221e+02 
       4.245135590315e-05       1.877314840551e+02 
       4.344017500850e-05       1.919537868242e+02 
       4.445202666965e-05       1.962710359366e+02 
       4.548744738373e-05       2.006853623400e+02 
       4.654698614451e-05       2.051989495242e+02 
       4.763120473347e-05       2.098140278949e+02 
       4.874067801765e-05       2.145328755055e+02 
       4.987599425447e-05       2.193578252514e+02 
       5.103775540364e-05       2.242912605191e+02 
       5.222657744628e-05       2.293356212480e+02 
       5.344309071159e-05       2.344933920328e+02 
       5.468794021099e-05       2.397671276858e+02 
       5.596178598018e-05       2.451594309093e+02 
       5.726530342903e-05       2.506729634419e+02 
       5.859918369976e-05       2.563104479563e+02 
       5.996413403334e-05       2.620746699639e+02 
       6.136087814450e-05       2.679684731084e+02 
       6.279015660546e-05       2.739947674765e+02 
       6.425272723857e-05       2.801565263694e+02 
       6.574936551816e-05       2.864567930191e+02 
       6.728086498164e-05       2.928986750794e+02 
       6.884803765030e-05       2.994853484952e+02 
       7.045171445983e-05       3.062200689284e+02 
       7.209274570091e-05       3.131061528804e+02 
