# Galactic center flux at various instruments INTEGRAL/SPI, COMPTEL, Fermi-LAT (fig. 4 of arXiv:1101.1381, middle of points)

nb_lines = 49

E(GeV)	   E².flux(GeV.cm^-2.s^-1.sr^-1)
2.29975e-5 8.05422e-6
3.07559e-5 5.70007e-6
4.21848e-5 4.15713e-6
5.64162e-5 1.23963e-6
7.73803e-5 2.77037e-6
1.03485e-4 2.12960e-6
1.38397e-4 3.63113e-6
1.85087e-4 3.68612e-6
2.53865e-4 6.33251e-6
3.43827e-4 1.03992e-5
4.48342e-4 1.96987e-5
6.07221e-4 2.62839e-6
8.54185e-4 5.48985e-6
1.07240e-3 1.01673e-5
1.24803e-3 3.00914e-6
1.34635e-3 2.01479e-5
1.48960e-3 1.26434e-5
1.69029e-3 7.41515e-6
1.80055e-3 9.29050e-6
1.96711e-3 9.22094e-6
2.28928e-3 7.35963e-6
5.40698e-3 1.32265e-5
1.75161e-2 1.16401e-5
1.12287e-1 2.44959e-5
1.50168e-1 3.25930e-5
1.95816e-1 3.43536e-5
2.58587e-1 3.73143e-5
3.32957e-1 3.96266e-5
4.34168e-1 4.20823e-5
5.66146e-1 3.84531e-5
7.47632e-1 4.20823e-5
9.50561e-1 4.17672e-5
1.25528e+0 3.96266e-5
1.65767e+0 3.73143e-5
2.18906e+0 3.35877e-5
2.81864e+0 2.89002e-5
3.67544e+0 2.44959e-5
4.85365e+0 2.10772e-5
6.32905e+0 1.70774e-5
8.25295e+0 1.31275e-5
1.06265e+1 1.02440e-5
1.42115e+1 9.15190e-6
1.85314e+1 8.48929e-6
2.41646e+1 7.58423e-6
3.11143e+1 6.72493e-6
4.16110e+1 6.33251e-6
5.35784e+1 5.61503e-6
6.89876e+1 5.44875e-6
9.22612e+1 3.68612e-6
