# computed flux [arXiv:1703.02546]

nb_lines = 69

E(GeV)     E².flux(GeV.s^-1.cm^-2.sr^-1)
2.10991e-4 1.15742e-5
2.46902e-4 1.12997e-5
2.86248e-4 1.16780e-5
3.31864e-4 1.20252e-5
3.84750e-4 1.25109e-5
4.46063e-4 1.29367e-5
5.17148e-4 1.33088e-5
5.99560e-4 1.36519e-5
6.95106e-4 1.40577e-5
8.05878e-4 1.43615e-5
9.34302e-4 1.48189e-5
1.08319e-3 1.52872e-5
1.25581e-3 1.58021e-5
1.45593e-3 1.66454e-5
1.68795e-3 1.71121e-5
1.95694e-3 1.76450e-5
2.26880e-3 1.79253e-5
2.63036e-3 1.84768e-5
3.04953e-3 1.88615e-5
3.53550e-3 1.92775e-5
4.11271e-3 1.93162e-5
4.75212e-3 2.06566e-5
5.50941e-3 2.17214e-5
6.38739e-3 2.16969e-5
7.40528e-3 2.15075e-5
8.58539e-3 2.11051e-5
9.89637e-3 1.99510e-5
1.14037e-2 1.87774e-5
1.33338e-2 1.96700e-5
1.55107e-2 1.87930e-5
1.79825e-2 1.70941e-5
2.08482e-2 1.53088e-5
2.41706e-2 1.34792e-5
2.80224e-2 1.19356e-5
3.24880e-2 1.10737e-5
3.76653e-2 1.08874e-5
4.36676e-2 1.17348e-5
5.06265e-2 1.31033e-5
5.86943e-2 1.48819e-5
6.80478e-2 1.70700e-5
7.88919e-2 1.99713e-5
9.14640e-2 2.33658e-5
1.06040e-1 2.71445e-5
1.22938e-1 3.13123e-5
1.42530e-1 3.60688e-5
1.67339e-1 3.70269e-5
1.91576e-1 3.76391e-5
2.21396e-1 4.10966e-5
2.59818e-1 4.68969e-5
3.01416e-1 4.95045e-5
3.41775e-1 4.75030e-5
3.96669e-1 5.00672e-5
4.65211e-1 5.56443e-5
5.39347e-1 5.67570e-5
6.25297e-1 5.40088e-5
7.24944e-1 5.39107e-5
8.40471e-1 5.54827e-5
9.74408e-1 5.36680e-5
1.12969e+0 4.91827e-5
1.30972e+0 4.69876e-5
1.51843e+0 4.61316e-5
1.76041e+0 4.32961e-5
2.04095e+0 3.82168e-5
2.36619e+0 3.47667e-5
2.74327e+0 3.35251e-5
3.18043e+0 3.03702e-5
3.68727e+0 2.64249e-5
4.27487e+0 2.39381e-5
4.89651e+0 2.39638e-5
