# COMPTEL and INTEGRAL flux [arXiv:2110.03333]

nb_lines = 52

E(GeV)     flux(GeV^-1.s^-1.cm^-2.sr^-1)
2.40621e-5 6.30957e+3
3.11411e-5 2.58764e+3
4.18151e-5 1.01497e+3
5.61479e-5 1.86624e+2
7.63250e-5 2.23042e+2
1.04388e-4 6.78426e+2
1.17568e-4 5.46770e+2
1.32412e-4 4.41450e+2
1.49130e-4 3.57690e+2
1.67959e-4 2.87250e+2
1.89165e-4 2.32333e+2
2.13048e-4 1.87916e+2
2.39947e-4 1.51449e+2
2.70242e-4 1.22713e+2
3.04362e-4 9.66332e+1
3.44914e-4 8.05641e+1
3.86071e-4 6.44684e+1
4.33876e-4 5.14139e+1
4.87952e-4 4.29161e+1
5.51544e-4 3.36883e+1
6.21181e-4 2.72477e+1
6.99609e-4 2.19209e+1
7.87941e-4 1.78251e+1
8.87424e-4 1.42893e+1
9.99468e-4 1.15506e+1
1.12566e-3 9.31463e+0
1.26778e-3 7.53384e+0
1.42785e-3 6.08266e+0
1.60813e-3 4.90225e+0
1.81117e-3 3.92984e+0
2.03984e-3 3.13910e+0
2.28706e-3 2.35895e+0
2.58745e-3 2.05466e+0
2.91413e-3 1.70593e+0
3.28206e-3 1.32439e+0
3.69645e-3 1.05979e+0
4.16316e-3 8.52605e-1
4.68879e-3 6.76209e-1
5.28078e-3 5.18074e-1
5.93468e-3 4.17447e-1
6.69844e-3 3.26733e-1
7.54417e-3 2.60030e-1
8.49668e-3 2.05132e-1
9.56946e-3 1.57554e-1
1.07777e-2 1.19084e-1
1.21384e-2 8.88912e-2
1.36710e-2 6.47176e-2
1.53971e-2 4.59563e-2
1.72243e-2 3.01258e-2
1.95305e-2 2.09340e-2
2.16426e-2 1.37744e-2
2.37538e-2 9.68444e-3
