# Constraint EGRET IGRB [arXiv:0405441]

nb_lines = 11
nb_columns = 6

E(GeV)	   E-(GeV)	  E+(GeV)	 flux       flux-      flux+(GeV.cm^-2.s^-1.sr^-1)
3.88386e-2 3.04737e-2 4.94997e-2 8.37450e-4 5.85844e-4 1.08553e-3
5.93754e-2 5.06382e-2 6.90944e-2 5.23220e-4 4.46075e-4 6.00788e-4
8.41454e-2 7.12214e-2 9.94147e-2 2.16510e-4 1.94668e-4 2.37749e-4
1.21992e-1 1.01701e-1 1.50835e-1 9.04755e-5 8.15217e-5 9.89293e-5
2.13760e-1 1.51982e-1 2.96124e-1 2.57722e-5 2.32710e-5 2.83004e-5
3.91987e-1 3.05240e-1 4.95814e-1 5.89997e-6 5.25984e-6 6.47875e-6
7.18817e-1 5.07218e-1 9.95789e-1 1.47372e-6 1.31104e-6 1.63559e-6
1.42195e+0 1.01100e+0 1.98483e+0 3.21077e-7 2.78435e-7 3.64004e-7
2.85582e+0 2.04593e+0 3.95622e+0 1.17475e-7 1.00796e-7 1.33749e-7
6.32956e+0 4.10903e+0 9.97432e+0 1.94980e-8 1.60329e-8 2.29674e-8
1.42429e+1 1.03596e+1 1.97310e+1 3.36067e-9 1.98738e-9 4.74306e-9
