# Constraint EGRET from galactic center [arXiv:9811211]

nb_lines = 10
nb_columns = 6

         E(GeV)        E-(GeV)        E+(GeV)           flux          flux-          flux+(GeV^-1.cm^-2.s^-1.sr^-1)
    3.86714e-02    8.59000e-03    1.17415e-02    1.09368e-02    3.08858e-03    4.41571e-03
    5.96031e-02    8.48180e-03    7.97640e-03    5.60603e-03    9.51435e-04    1.37116e-03
    8.44860e-02    1.40172e-02    1.68060e-02    3.24009e-03    5.79149e-04    6.90849e-04
    1.23146e-01    2.32582e-02    2.65710e-02    1.95426e-03    3.55161e-04    4.51515e-04
    2.09279e-01    5.74580e-02    8.32580e-02    9.02584e-04    2.18480e-04    2.66738e-04
    3.81358e-01    7.63140e-02    1.22776e-01    3.65222e-04    6.52819e-05    8.27462e-05
    7.04694e-01    2.07547e-01    2.94193e-01    1.26957e-04    2.30728e-05    2.53938e-05
    1.39628e+00    3.83360e-01    6.10720e-01    3.81051e-05    3.32033e-06    4.09643e-06
    2.92540e+00    8.90190e-01    1.05127e+00    7.31342e-06    1.47993e-06    1.88890e-06
    6.30260e+00    2.27005e+00    3.96910e+00    1.13479e-06    3.08506e-07    4.63988e-07
