# Constraint Fermi-LAT from galactic center [arXiv:1101.1381]

nb_lines = 26
nb_columns = 6

         E(GeV)        E-(GeV)        E+(GeV)           flux          flux-          flux+(GeV^-1.cm^-2.s^-1.sr^-1)
    1.13791e-01    1.32870e-02    1.54550e-02    1.58670e-03    1.67874e-04    1.60506e-04
    1.48978e-01    1.97320e-02    2.24070e-02    1.25695e-03    1.37746e-04    1.21278e-04
    1.95909e-01    2.45240e-02    2.78950e-02    7.54042e-04    5.83580e-05    6.70135e-05
    2.55358e-01    3.08660e-02    3.86970e-02    4.80560e-04    3.28780e-05    4.55621e-05
    3.32848e-01    4.32690e-02    4.76280e-02    3.06264e-04    2.42310e-05    2.23797e-05
    4.35774e-01    5.17810e-02    6.26000e-02    1.88790e-04    1.26767e-05    1.46925e-05
    5.68011e-01    6.19350e-02    7.48570e-02    9.95315e-05    5.92276e-06    8.16647e-06
    7.43655e-01    9.48440e-02    1.06202e-01    6.28743e-05    4.17198e-06    5.52961e-06
    9.73612e-01    1.18525e-01    1.36178e-01    3.60141e-05    2.77038e-06    3.38773e-06
    1.25790e+00    1.37850e-01    1.91330e-01    2.07975e-05    1.95221e-06    2.11545e-06
    1.66884e+00    2.06210e-01    2.23640e-01    1.11831e-05    1.22218e-06    1.34652e-06
    2.15269e+00    2.48560e-01    3.33830e-01    5.93573e-06    6.43300e-07    8.35593e-07
    2.81974e+00    3.48430e-01    4.17360e-01    2.95629e-06    3.86747e-07    4.59430e-07
    3.71622e+00    4.69180e-01    4.98020e-01    1.47935e-06    1.88055e-07    2.74035e-07
    4.82317e+00    6.08930e-01    7.30890e-01    7.34704e-07    9.06634e-08    1.51021e-07
    6.29837e+00    7.44310e-01    8.44050e-01    3.54358e-07    5.41096e-08    7.46594e-08
    8.19958e+00    8.79720e-01    1.09883e+00    1.58629e-07    2.70475e-08    3.50601e-08
    1.07404e+01    1.29828e+00    1.40200e+00    7.22609e-08    1.35809e-08    1.74838e-08
    1.39824e+01    1.69010e+00    2.11890e+00    3.78544e-08    6.45448e-09    9.15878e-09
    1.83714e+01    2.22070e+00    2.59020e+00    1.98021e-08    3.51538e-09    5.00097e-09
    2.40641e+01    2.84380e+00    3.39280e+00    1.04225e-08    1.81377e-09    2.79963e-09
    3.14243e+01    4.05150e+00    4.43050e+00    5.44955e-09    1.00536e-09    1.43451e-09
    4.09099e+01    5.16490e+00    6.19940e+00    2.95347e-09    5.65254e-10    7.30202e-10
    5.34225e+01    7.03020e+00    7.15920e+00    1.55744e-09    3.14019e-10    4.26764e-10
    6.99764e+01    8.83460e+00    9.86600e+00    8.12797e-10    1.63882e-10    2.13956e-10
    9.13792e+01    1.15368e+01    1.44948e+01    3.67819e-10    7.54070e-11    1.12888e-10
