# Constraint Fermi-LAT IGRB [arXiv:1410.3696]

nb_lines = 26
nb_columns = 12

         E(GeV)        E-(GeV)        E+(GeV)          fluxA         fluxA-         fluxA+          fluxB         fluxB-         fluxB+          fluxC         fluxC-         fluxC+(GeV^-1.cm^-2.s^-1.sr^-1)
    1.18912e-01    1.89117e-02    2.24883e-02    6.68841e-05    1.33068e-05    1.33068e-05    6.98068e-05    1.34444e-05    1.34444e-05    5.86957e-05    1.28986e-05    1.28986e-05
    1.68167e-01    2.67666e-02    3.18334e-02    2.90273e-05    7.36519e-06    7.36519e-06    3.01706e-05    7.39420e-06    7.39420e-06    2.52048e-05    7.24061e-06    7.24061e-06
    2.37823e-01    3.78235e-02    4.49765e-02    1.27657e-05    3.73430e-06    3.73430e-06    1.36232e-05    3.74879e-06    3.74879e-06    1.08237e-05    3.68961e-06    3.68961e-06
    3.36333e-01    5.35332e-02    6.36668e-02    5.67406e-06    1.69795e-06    1.69795e-06    6.28328e-06    1.70648e-06    1.70648e-06    4.78413e-06    1.68174e-06    1.68174e-06
    4.75689e-01    7.56890e-02    9.00110e-02    2.70730e-06    6.07725e-07    6.07725e-07    3.10018e-06    6.13760e-07    6.13760e-07    2.33555e-06    6.01569e-07    6.01569e-07
    6.72726e-01    1.07026e-01    1.27274e-01    1.38967e-06    1.72002e-07    1.72002e-07    1.63466e-06    1.78361e-07    1.78361e-07    1.23730e-06    1.68032e-07    1.68032e-07
    9.51378e-01    1.51378e-01    1.80022e-01    5.82981e-07    6.61738e-08    6.61738e-08    7.10622e-07    7.07302e-08    7.07302e-08    5.17502e-07    6.39409e-08    6.39409e-08
    1.34545e+00    2.14052e-01    2.54548e-01    2.28126e-07    2.74221e-08    2.74434e-08    3.02390e-07    3.05378e-08    3.05378e-08    2.08323e-07    2.66325e-08    2.66325e-08
    1.90271e+00    3.02714e-01    3.59986e-01    9.09914e-08    1.23917e-08    1.23978e-08    1.31553e-07    1.42387e-08    1.42417e-08    8.61928e-08    1.22182e-08    1.22182e-08
    2.69084e+00    4.28144e-01    5.09156e-01    4.19503e-08    4.42548e-09    4.42548e-09    6.23706e-08    5.75483e-09    5.75483e-09    4.21743e-08    4.43508e-09    4.43508e-09
    3.80547e+00    6.05470e-01    7.20030e-01    1.75783e-08    2.27839e-09    2.27839e-09    2.72425e-08    2.89400e-09    2.89400e-09    1.84157e-08    2.32365e-09    2.32365e-09
    5.38175e+00    8.56247e-01    1.01825e+00    7.79408e-09    1.27181e-09    1.27234e-09    1.22059e-08    1.53641e-09    1.53641e-09    8.39157e-09    1.30221e-09    1.30221e-09
    7.61094e+00    1.21094e+00    1.44006e+00    3.61411e-09    5.56394e-10    5.56394e-10    5.63561e-09    6.98227e-10    6.98227e-10    3.94945e-09    5.77141e-10    5.77141e-10
    1.07635e+01    1.71249e+00    2.03651e+00    2.03228e-09    2.63617e-10    2.63644e-10    2.86210e-09    3.29688e-10    3.29688e-10    2.18352e-09    2.74740e-10    2.74740e-10
    1.52218e+01    2.42184e+00    2.88006e+00    7.61802e-10    1.00869e-10    1.00851e-10    1.13412e-09    1.31425e-10    1.31406e-10    8.72706e-10    1.09508e-10    1.09489e-10
    2.15269e+01    3.42503e+00    4.07307e+00    3.53290e-10    4.35444e-11    4.35310e-11    5.07462e-10    5.68544e-11    5.68411e-11    3.95434e-10    4.70519e-11    4.70386e-11
    3.04437e+01    4.84372e+00    5.76018e+00    1.46267e-10    1.77859e-11    1.77670e-11    2.08602e-10    2.32367e-11    2.32273e-11    1.61544e-10    1.90779e-11    1.90590e-11
    4.30539e+01    6.85002e+00    8.14608e+00    7.00849e-11    8.32883e-12    8.30883e-12    9.50914e-11    1.05494e-11    1.05361e-11    7.56863e-11    8.80896e-12    8.79562e-12
    6.08874e+01    9.68739e+00    1.15203e+01    2.98995e-11    3.73449e-12    3.71940e-12    3.94762e-11    4.55448e-12    4.54175e-12    3.18752e-11    3.89858e-12    3.88444e-12
    8.61078e+01    1.37001e+01    1.62922e+01    1.20231e-11    1.66609e-12    1.65342e-12    1.56540e-11    1.95750e-12    1.94617e-12    1.27466e-11    1.72244e-12    1.71011e-12
    1.21775e+02    1.93748e+01    2.30407e+01    3.64489e-12    6.76875e-13    6.65559e-13    4.95338e-12    7.68823e-13    7.57978e-13    3.88301e-12    6.92907e-13    6.82062e-13
    1.72216e+02    2.74001e+01    3.25844e+01    1.63225e-12    3.40088e-13    3.31419e-13    2.08887e-12    3.71763e-13    3.63427e-13    1.72878e-12    3.47090e-13    3.38587e-13
    2.43550e+02    3.87496e+01    4.60813e+01    5.55930e-13    1.60790e-13    1.54307e-13    7.06229e-13    1.72225e-13    1.65388e-13    5.92826e-13    1.63855e-13    1.57136e-13
    3.44431e+02    5.48002e+01    6.51689e+01    2.66485e-13    9.06067e-14    8.52720e-14    3.16915e-13    9.46077e-14    8.96898e-14    2.85157e-13    9.26905e-14    8.71891e-14
    4.87099e+02    7.74992e+01    9.21627e+01    4.32036e-14    3.33664e-14    3.03309e-14    5.83455e-14    3.75040e-14    3.40147e-14    4.87558e-14    3.51346e-14    3.19105e-14
    6.88862e+02    1.09600e+02    1.30338e+02    1.75295e-16    9.31073e-15    9.31073e-15    3.45631e-15    1.07028e-14    1.03193e-14    2.05511e-15    9.92339e-15    9.73168e-15
