# Constraint HEAO+balloon IGRB [arXiv:9903492]

nb_lines = 46
nb_columns = 6

         E(GeV)        E-(GeV)        E+(GeV)           flux          flux-          flux+(GeV^-1.cm^-2.s^-1.sr^-1)
    3.36293e-06    2.72740e-07    2.76210e-07    1.50468e+06    2.80654e+04    2.71281e+04
    3.90484e-06    2.73130e-07    2.85490e-07    1.23132e+06    1.72484e+04    2.54660e+04
    4.45507e-06    2.90360e-07    3.20860e-07    1.03989e+06    1.75739e+04    2.13879e+04
    5.03837e-06    2.91630e-07    2.73130e-07    8.46270e+05    1.06243e+04    2.06105e+04
    5.54977e-06    2.05610e-07    3.57340e-07    7.39336e+05    1.11137e+04    1.55747e+04
    6.16703e-06    3.08010e-07    2.56440e-07    6.27767e+05    9.90738e+03    1.09302e+04
    6.67463e-06    2.77370e-07    2.96070e-07    5.49749e+05    9.48358e+03    9.52623e+03
    7.27712e-06    3.20660e-07    2.56560e-07    5.03500e+05    8.12554e+03    9.66643e+03
    7.83007e-06    3.42440e-07    2.62300e-07    4.71551e+05    6.18659e+03    1.05268e+04
    8.42505e-06    3.98570e-07    3.20900e-07    4.11441e+05    7.20892e+03    9.97725e+03
    8.84661e-06    2.77610e-07    4.90490e-07    3.90541e+05    5.89299e+03    9.33014e+03
    9.51883e-06    4.26560e-07    3.27890e-07    3.44222e+05    6.30849e+03    9.05438e+03
    1.00672e-05    1.80150e-07    4.02200e-07    3.05318e+05    7.44856e+03    7.41501e+03
    1.05950e-05    2.53200e-07    3.33500e-07    2.81952e+05    6.68484e+03    8.07187e+03
    1.11694e-05    2.63200e-07    2.85200e-07    2.65419e+05    7.20529e+03    7.21411e+03
    1.17150e-05    3.07200e-07    2.66400e-07    2.54207e+05    7.07586e+03    6.90900e+03
    1.22873e-05    2.81400e-07    2.96500e-07    2.36690e+05    6.42545e+03    6.43274e+03
    1.28436e-05    2.59800e-07    3.45900e-07    2.16172e+05    7.49463e+03    6.18885e+03
    1.34252e-05    2.62700e-07    2.58600e-07    1.91393e+05    7.02579e+03    7.57507e+03
    1.39854e-05    3.57500e-07    3.27700e-07    1.87800e+05    7.14960e+03    6.19659e+03
    1.48444e-05    5.60500e-07    4.36200e-07    1.72802e+05    5.16482e+03    4.82219e+03
    1.60270e-05    6.52500e-07    6.23300e-07    1.43001e+05    5.54105e+03    5.34523e+03
    1.68098e-05    1.11780e-06    1.25890e-06    1.43391e+05    1.40957e+03    2.03808e+03
    1.76310e-05    1.18370e-06    1.15320e-06    1.23538e+05    3.77704e+03    3.98582e+03
    1.90355e-05    1.07720e-06    1.22440e-06    1.14212e+05    1.52118e+03    1.13399e+03
    2.10837e-05    2.18390e-06    1.63300e-06    8.88626e+04    2.95958e+03    3.32154e+03
    2.14824e-05    1.18110e-06    1.98950e-06    8.91709e+04    1.00131e+03    1.33133e+03
    2.38345e-05    9.78000e-07    1.27520e-06    7.24908e+04    1.01587e+03    9.26801e+02
    2.60418e-05    2.18290e-06    1.65630e-06    5.97453e+04    3.83470e+03    3.82792e+03
    2.61753e-05    9.62700e-07    2.21050e-06    6.31043e+04    1.01599e+03    9.87380e+02
    2.87949e-05    8.12300e-07    1.26280e-06    5.15593e+04    7.94190e+02    7.69828e+02
    3.09303e-05    2.89050e-06    2.97970e-06    4.35341e+04    4.20662e+03    4.11557e+03
    3.29984e-05    1.03990e-06    1.68270e-06    3.67145e+04    7.69129e+02    7.85567e+02
    3.78156e-05    3.83620e-06    2.44610e-06    2.90628e+04    5.28384e+02    6.00901e+02
    4.04817e-05    4.86680e-06    4.20340e-06    2.44470e+04    3.11289e+03    3.09659e+03
    4.26040e-05    2.09470e-06    4.52000e-06    2.28647e+04    5.26307e+02    5.22230e+02
    4.79989e-05    3.40500e-06    3.45420e-06    1.64463e+04    3.33175e+02    3.63732e+02
    5.50058e-05    3.23620e-06    3.04180e-06    1.13051e+04    3.30178e+02    3.97734e+02
    6.32508e-05    4.48700e-06    5.38840e-06    7.72914e+03    2.83753e+02    3.11573e+02
    7.37294e-05    5.37020e-06    4.34260e-06    4.97452e+03    5.24869e+02    5.16554e+02
    8.39188e-05    4.55970e-06    5.79440e-06    3.55555e+03    2.09376e+02    2.03852e+02
    9.76550e-05    6.27620e-06    6.70700e-06    2.38705e+03    6.15215e+01    6.66073e+01
    1.19394e-04    1.48180e-05    1.20830e-05    1.60144e+03    4.56684e+01    4.23713e+01
    1.50516e-04    1.68720e-05    1.88870e-05    8.68861e+02    1.39880e+01    1.29728e+01
    1.97333e-04    2.89660e-05    3.05080e-05    4.83853e+02    2.36464e+01    2.34256e+01
    2.73669e-04    4.62930e-05    2.17000e-05    1.69685e+02    9.87920e+00    1.04907e+01
