# Constraint INTEGRAL from galactic center [arXiv:1107.0200]

nb_lines = 19
nb_columns = 6

         E(GeV)        E-(GeV)        E+(GeV)           flux          flux-          flux+(GeV^-1.cm^-2.s^-1.sr^-1)
    2.34515e-05    3.28300e-06    3.24660e-06    1.26399e+04    6.20540e+02    6.22213e+02
    3.14492e-05    4.58660e-06    4.47620e-06    4.75261e+03    1.60356e+02    1.99838e+02
    4.27539e-05    6.53310e-06    6.25220e-06    1.94964e+03    9.14713e+01    8.66351e+01
    5.79243e-05    8.68350e-06    8.01910e-06    3.35218e+02    1.52833e+02    1.56013e+02
    7.79438e-05    1.15489e-05    1.13982e-05    4.15227e+02    5.65657e+01    5.89310e+01
    1.05601e-04    1.57086e-05    1.42090e-05    1.69938e+02    3.78153e+01    3.69589e+01
    1.42583e-04    2.28540e-05    2.02950e-05    1.48669e+02    3.09470e+01    3.06843e+01
    1.91862e-04    2.70840e-05    2.58180e-05    8.89527e+01    2.85281e+01    2.70414e+01
    2.59055e-04    3.68730e-05    3.78840e-05    7.65816e+01    1.31017e+01    1.35094e+01
    3.48589e-04    4.53020e-05    5.23420e-05    6.74541e+01    1.25544e+01    1.17180e+01
    4.53332e-04    4.77230e-05    5.05780e-05    7.67394e+01    1.37083e+01    1.35375e+01
    6.26891e-04    1.04065e-04    9.65940e-05    1.36586e+01    8.64513e+00    8.62941e+00
    8.63944e-04    1.08161e-04    1.19605e-04    6.82280e+00    2.85599e+00    2.88233e+00
    1.07846e-03    7.59400e-05    8.80500e-05    1.00706e+01    2.99091e+00    2.97152e+00
    1.25316e-03    6.73900e-05    6.58100e-05    3.52931e+00    2.40777e+00    2.40368e+00
    1.50670e-03    8.68500e-05    8.99800e-05    6.18181e+00    1.66355e+00    1.69690e+00
    1.70362e-03    8.50000e-05    8.33600e-05    3.30720e+00    1.61176e+00    1.59495e+00
    2.00679e-03    1.46390e-04    1.78700e-04    2.63590e+00    9.52643e-01    9.54036e-01
    2.32392e-03    9.62700e-05    8.88900e-05    1.82679e+00    1.29705e+00    1.26531e+00
