MBH,k,q,burst,TNCDM1,aev1,N1,TNCDM2,aev2,N2
10.0,0.25,0.5,false,437.85,9.7207e-23,4.512e9,17244.0,1.9142e-21,3.008e9
10.0,0.50,0.5,false,437.85,9.7207e-23,4.512e9,517350.0,5.7428e-20,3.008e9
10.0,1.00,0.5,false,437.85,9.7207e-23,4.512e9,4.6688e8,5.1826e-17,3.008e9
10.0,1.5,0.5,false,437.85,9.7207e-23,4.512e9,4.3099e11,4.7842e-14,3.008e9
1000.0,0.25,0.5,false,4378.5,9.7207e-20,4.512e13,544660.0,6.0461e-18,3.008e13
1000.0,0.5,0.5,false,4378.5,9.7207e-20,4.512e13,5.1838e7,5.7543e-16,3.008e13
1000.0,1.0,0.5,false,4378.5,9.7207e-20,4.512e13,5.5708e11,6.1839e-12,3.008e13
100000.0,0.25,0.5,false,43785.0,9.7207e-17,4.512e17,1.7549e7,1.948e-14,3.008e17
100000.0,0.5,0.5,false,43785.0,9.7207e-17,4.512e17,6.1853e9,6.866e-12,3.008e17


