# Matter power spectrum P(k) at redshift z=0
# for k=1.04213e-05 to 504.967 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042132540099e-05       4.831336735426e+01 
       1.066406925311e-05       4.940008395796e+01 
       1.091246733590e-05       5.051125839857e+01 
       1.116665135332e-05       5.164741411961e+01 
       1.142675607710e-05       5.280913613244e+01 
       1.169291941819e-05       5.399698110734e+01 
       1.196528249994e-05       5.521154653933e+01 
       1.224398973285e-05       5.645343390604e+01 
       1.252918889118e-05       5.772322208488e+01 
       1.282103119131e-05       5.902162641936e+01 
       1.311967137188e-05       6.034921206795e+01 
       1.342526777587e-05       6.170665682697e+01 
       1.373798243454e-05       6.309463589808e+01 
       1.405798115334e-05       6.451382014295e+01 
       1.438543359983e-05       6.596494389356e+01 
       1.472051339363e-05       6.744870719206e+01 
       1.506339819847e-05       6.896584250175e+01 
       1.541426981643e-05       7.051709071995e+01 
       1.577331428428e-05       7.210324262401e+01 
       1.614072197215e-05       7.372507333607e+01 
       1.651668768445e-05       7.538336744427e+01 
       1.690141076319e-05       7.707895837251e+01 
       1.729509519363e-05       7.881269768005e+01 
       1.769794971247e-05       8.058544425193e+01 
       1.811018791850e-05       8.239804510803e+01 
       1.853202838589e-05       8.425142103212e+01 
       1.896369478003e-05       8.614649238412e+01 
       1.940541597616e-05       8.808417884363e+01 
       1.985742618070e-05       9.006544547744e+01 
       2.031996505544e-05       9.209128528029e+01 
       2.079327784462e-05       9.416267118406e+01 
       2.127761550495e-05       9.628065654544e+01 
       2.177323483866e-05       9.844628781800e+01 
       2.228039862968e-05       1.006606196539e+02 
       2.279937578297e-05       1.029247427544e+02 
       2.333044146709e-05       1.052398073149e+02 
       2.387387726009e-05       1.076069419926e+02 
       2.442997129882e-05       1.100273037311e+02 
       2.499901843170e-05       1.125021076933e+02 
       2.558132037506e-05       1.150325800182e+02 
       2.617718587309e-05       1.176199539238e+02 
       2.678693086156e-05       1.202655243684e+02 
       2.741087863535e-05       1.229706039865e+02 
       2.804936001981e-05       1.257365118022e+02 
       2.870271354623e-05       1.285646274258e+02 
       2.937128563130e-05       1.314563506874e+02 
       3.005543076078e-05       1.344131094292e+02 
       3.075551167749e-05       1.374363644843e+02 
       3.147189957358e-05       1.405276170973e+02 
       3.220497428741e-05       1.436883873019e+02 
       3.295512450489e-05       1.469202422352e+02 
       3.372274796559e-05       1.502247760723e+02 
       3.450825167364e-05       1.536036272238e+02 
       3.531205211350e-05       1.570584731507e+02 
       3.613457547080e-05       1.605910061350e+02 
       3.697625785831e-05       1.642029811884e+02 
       3.783754554717e-05       1.678961864516e+02 
       3.871889520352e-05       1.716724453694e+02 
       3.962077413062e-05       1.755336242082e+02 
       4.054366051660e-05       1.794816321301e+02 
       4.148804368805e-05       1.835184206664e+02 
       4.245442436942e-05       1.876459851349e+02 
       4.344331494854e-05       1.918663639285e+02 
       4.445523974828e-05       1.961816459446e+02 
       4.549073530458e-05       2.005939605215e+02 
       4.655035065087e-05       2.051054904315e+02 
       4.763464760925e-05       2.097184645864e+02 
       4.874420108831e-05       2.144351624317e+02 
       4.987959938799e-05       2.192579138449e+02 
       5.104144451150e-05       2.241891009906e+02 
       5.223035248451e-05       2.292311622305e+02 
       5.344695368175e-05       2.343865844121e+02 
       5.469189316129e-05       2.396579134388e+02 
       5.596583100652e-05       2.450477575664e+02 
       5.726944267614e-05       2.505587779735e+02 
       5.860341936231e-05       2.561936931170e+02 
       5.996846835715e-05       2.619552858370e+02 
       6.136531342768e-05       2.678464012972e+02 
       6.279469519966e-05       2.738699474565e+02 
       6.425737155021e-05       2.800288968763e+02 
       6.575411800971e-05       2.863262884084e+02 
       6.728572817294e-05       2.927652335861e+02 
       6.885301411988e-05       2.993489025407e+02 
       7.045680684628e-05       3.060805506904e+02 
       7.209795670428e-05       3.129634937208e+02 
       7.377733385325e-05       3.200011278737e+02 
       7.549582872119e-05       3.271969244129e+02 
       7.725435247682e-05       3.345544293903e+02 
       7.905383751272e-05       3.420772702096e+02 
       8.089523793966e-05       3.497691549456e+02 
       8.277953009254e-05       3.576338742325e+02 
       8.470771304799e-05       3.656753017679e+02 
       8.668080915414e-05       3.738974011882e+02 
       8.869986457266e-05       3.823042186299e+02 
       9.076594983345e-05       3.908998945310e+02 
       9.288016040228e-05       3.996886610812e+02 
       9.504361726156e-05       4.086748424676e+02 
       9.725746750477e-05       4.178628592089e+02 
       9.952288494460e-05       4.272572332225e+02 
       1.018410707354e-04       4.368625817116e+02 
       1.042132540099e-04       4.466836279346e+02 
       1.066406925311e-04       4.567251982207e+02 
       1.091246733590e-04       4.669922255902e+02 
       1.116665135332e-04       4.774897531106e+02 
       1.142675607710e-04       4.882229345013e+02 
       1.169291941819e-04       4.991970367750e+02 
       1.196528249994e-04       5.104174441797e+02 
       1.224398973285e-04       5.218896593481e+02 
       1.252918889118e-04       5.336193055964e+02 
       1.282103119131e-04       5.456121305769e+02 
       1.311967137188e-04       5.578740079357e+02 
       1.342526777587e-04       5.704109404008e+02 
       1.373798243454e-04       5.832290614930e+02 
       1.405798115334e-04       5.963346392862e+02 
       1.438543359983e-04       6.097340810367e+02 
       1.472051339363e-04       6.234339307569e+02 
       1.506339819847e-04       6.374408770343e+02 
       1.541426981643e-04       6.517617538935e+02 
       1.577331428428e-04       6.664035435783e+02 
       1.614072197215e-04       6.813733812816e+02 
       1.651668768445e-04       6.966785552161e+02 
       1.690141076319e-04       7.123265122181e+02 
       1.729509519363e-04       7.283248597717e+02 
       1.769794971247e-04       7.446813706287e+02 
       1.811018791850e-04       7.614039823846e+02 
       1.853202838589e-04       7.785008054264e+02 
       1.896369478003e-04       7.959801234176e+02 
       1.940541597616e-04       8.138503971729e+02 
       1.985742618070e-04       8.321202679937e+02 
       2.031996505544e-04       8.507985613981e+02 
       2.079327784462e-04       8.698942905275e+02 
       2.127761550495e-04       8.894166602782e+02 
       2.177323483866e-04       9.093750681757e+02 
       2.228039862968e-04       9.297791114276e+02 
       2.279937578297e-04       9.506385885249e+02 
       2.333044146709e-04       9.719635037541e+02 
       2.387387726009e-04       9.937640699092e+02 
       2.442997129882e-04       1.016050712923e+03 
       2.499901843170e-04       1.038834074271e+03 
       2.558132037506e-04       1.062125016844e+03 
       2.617718587309e-04       1.085934626614e+03 
       2.678693086156e-04       1.110274217308e+03 
       2.741087863535e-04       1.135155334794e+03 
       2.804936001981e-04       1.160589758589e+03 
       2.870271354623e-04       1.186589508770e+03 
       2.937128563130e-04       1.213166847552e+03 
       3.005543076078e-04       1.240334283916e+03 
       3.075551167749e-04       1.268104576876e+03 
       3.147189957358e-04       1.296490740463e+03 
       3.220497428741e-04       1.325506045621e+03 
       3.295512450489e-04       1.355164025603e+03 
       3.372274796559e-04       1.385478479175e+03 
       3.450825167364e-04       1.416463474064e+03 
       3.531205211350e-04       1.448133350020e+03 
       3.613457547080e-04       1.480502725569e+03 
       3.697625785831e-04       1.513586496845e+03 
       3.783754554717e-04       1.547399845150e+03 
       3.871889520352e-04       1.581958238633e+03 
       3.962077413062e-04       1.617277435280e+03 
       4.054366051660e-04       1.653373489736e+03 
       4.148804368805e-04       1.690262752456e+03 
       4.245442436942e-04       1.727961872917e+03 
       4.344331494854e-04       1.766487808174e+03 
       4.445523974828e-04       1.805857820845e+03 
       4.549073530458e-04       1.846089481972e+03 
       4.655035065087e-04       1.887200679099e+03 
       4.763464760925e-04       1.929209618382e+03 
       4.874420108831e-04       1.972134813888e+03 
       4.987959938799e-04       2.015995112788e+03 
       5.104144451150e-04       2.060809680950e+03 
