# Matter power spectrum P(k) at redshift z=0
# for k=1.04213e-05 to 504.967 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042132540099e-05       4.837159131774e+01 
       1.066406925311e-05       4.945961742021e+01 
       1.091246733590e-05       5.057213089568e+01 
       1.116665135332e-05       5.170965570408e+01 
       1.142675607710e-05       5.287277761131e+01 
       1.169291941819e-05       5.406205394498e+01 
       1.196528249994e-05       5.527808291822e+01 
       1.224398973285e-05       5.652146675468e+01 
       1.252918889118e-05       5.779278502866e+01 
       1.282103119131e-05       5.909275388648e+01 
       1.311967137188e-05       6.042193922857e+01 
       1.342526777587e-05       6.178101965069e+01 
       1.373798243454e-05       6.317067115649e+01 
       1.405798115334e-05       6.459156541658e+01 
       1.438543359983e-05       6.604443766180e+01 
       1.472051339363e-05       6.752998873935e+01 
       1.506339819847e-05       6.904895203430e+01 
       1.541426981643e-05       7.060206935889e+01 
       1.577331428428e-05       7.219013234984e+01 
       1.614072197215e-05       7.381391713896e+01 
       1.651668768445e-05       7.547420921402e+01 
       1.690141076319e-05       7.717184302529e+01 
       1.729509519363e-05       7.890767116283e+01 
       1.769794971247e-05       8.068255352213e+01 
       1.811018791850e-05       8.249733811866e+01 
       1.853202838589e-05       8.435294693318e+01 
       1.896369478003e-05       8.625030134332e+01 
       1.940541597616e-05       8.819032215504e+01 
       1.985742618070e-05       9.017397558831e+01 
       2.031996505544e-05       9.220225585016e+01 
       2.079327784462e-05       9.427613703151e+01 
       2.127761550495e-05       9.639667374021e+01 
       2.177323483866e-05       9.856491373371e+01 
       2.228039862968e-05       1.007819128894e+02 
       2.279937578297e-05       1.030487631746e+02 
       2.333044146709e-05       1.053666162541e+02 
       2.387387726009e-05       1.077366020817e+02 
       2.442997129882e-05       1.101598789875e+02 
       2.499901843170e-05       1.126376636429e+02 
       2.558132037506e-05       1.151711836023e+02 
       2.617718587309e-05       1.177616735635e+02 
       2.678693086156e-05       1.204104300378e+02 
       2.741087863535e-05       1.231187672804e+02 
       2.804936001981e-05       1.258880058044e+02 
       2.870271354623e-05       1.287195269355e+02 
       2.937128563130e-05       1.316147321234e+02 
       3.005543076078e-05       1.345750509945e+02 
       3.075551167749e-05       1.376019460943e+02 
       3.147189957358e-05       1.406969204260e+02 
       3.220497428741e-05       1.438614958787e+02 
       3.295512450489e-05       1.470972414434e+02 
       3.372274796559e-05       1.504057532351e+02 
       3.450825167364e-05       1.537886715401e+02 
       3.531205211350e-05       1.572476758598e+02 
       3.613457547080e-05       1.607844604547e+02 
       3.697625785831e-05       1.644007825325e+02 
       3.783754554717e-05       1.680984322150e+02 
       3.871889520352e-05       1.718792352257e+02 
       3.962077413062e-05       1.757450600330e+02 
       4.054366051660e-05       1.796978180157e+02 
       4.148804368805e-05       1.837394629978e+02 
       4.245442436942e-05       1.878719927994e+02 
       4.344331494854e-05       1.920974481073e+02 
       4.445523974828e-05       1.964179202956e+02 
       4.549073530458e-05       2.008355412768e+02 
       4.655035065087e-05       2.053524963409e+02 
       4.763464760925e-05       2.099710170730e+02 
